id,type,attributes.name,attributes.description,attributes.life.max,attributes.life.min,attributes.male_weight.max,attributes.male_weight.min,attributes.female_weight.max,attributes.female_weight.min,attributes.hypoallergenic,relationships.group.data.id,relationships.group.data.type
036feed0-da8a-42c9-ab9a-57449b530b13,breed,Affenpinscher,"The Affenpinscher is a small and playful breed of dog that was originally bred in Germany for hunting small game. They are intelligent, energetic, and affectionate, and make excellent companion dogs.",16,14,5,3,5,3,True,f56dc4b1-ba1a-4454-8ce2-bd5d41404a0c,group
dd9362cc-52e0-462d-b856-fccdcf24b140,breed,Afghan Hound,"The Afghan Hound is a large and elegant breed of dog that was originally bred in Afghanistan for hunting small game. They are intelligent, independent, and athletic, and make excellent companion dogs.",14,12,27,23,25,20,False,be0147df-7755-4228-b132-2518c0c6d10d,group
1460844f-841c-4de8-b788-271aa4d63224,breed,Airedale Terrier,"The Airedale Terrier is a large and powerful breed of dog that was originally bred in England for hunting small game. They are intelligent, energetic, and determined, and make excellent hunting dogs.",14,12,23,20,20,18,False,1bbf373b-1937-4e73-9863-45385daa4979,group
e7e99424-d514-4b56-9f0c-05736f6dd22d,breed,Akita,"The Akita is a large, muscular dog breed that originated in Japan. They are known for their loyalty and courage.",12,10,60,35,50,35,False,56081cf0-fdf2-4114-9bf7-23a3f5b6af91,group
667c7359-a739-4f2b-abb4-98867671e375,breed,Alaskan Klee Kai,The Alaskan Klee Kai is a small to medium-sized breed of dog that was developed in Alaska in the 1970s. It is an active and intelligent breed that is loyal and friendly. The Alaskan Klee Kai stands between 13-17 inches at the shoulder and has a double-coat that can come in various colors and patterns.,15,12,7,6,7,6,False,8000793f-a1ae-4ec4-8d55-ef83f1f644e5,group
5328d59b-b4e4-48e9-98ec-0545c66c4385,breed,Alaskan Malamute,"The Alaskan Malamute is a large and powerful sled dog from Alaska. They are strong and hardworking, yet friendly and loyal. Alaskan Malamutes have a thick, double coat that can be any color. They are active and require plenty of exercise and mental stimulation to stay healthy and happy.",15,12,39,34,34,25,False,56081cf0-fdf2-4114-9bf7-23a3f5b6af91,group
f72528b5-a5d7-4a17-b709-aba2db722307,breed,American Bulldog,"The American Bulldog is a large and powerful breed of dog that was originally bred in the United States for working on farms. They are intelligent, loyal, and protective, and make excellent guard dogs.",14,12,50,25,45,25,False,8000793f-a1ae-4ec4-8d55-ef83f1f644e5,group
4524645f-dda7-4031-9272-dee29f5f91ea,breed,American English Coonhound,"The American English Coonhound is a large and athletic breed of dog that was originally bred in the United States for hunting raccoons. They are intelligent, energetic, and determined, and make excellent hunting dogs.",14,12,30,20,30,20,False,be0147df-7755-4228-b132-2518c0c6d10d,group
e1c0664d-aa61-4c85-970d-6c86ba197bee,breed,American Eskimo Dog,"The American Eskimo Dog is a small to medium-sized breed with a thick, fluffy coat that comes in white, cream, or biscuit colors. It is known for its intelligence and its ability to learn a wide variety of tricks.",15,12,20,9,20,9,False,7f6ea988-366a-4e20-b4ba-4d04274fea61,group
8355b9c9-3724-477d-858a-c1c1c0f1743f,breed,American Foxhound,"The American Foxhound is a large and athletic breed of dog that was originally bred in the United States for hunting foxes. They are intelligent, energetic, and determined, and make excellent hunting dogs.",15,12,34,20,34,20,False,be0147df-7755-4228-b132-2518c0c6d10d,group
bba868bb-71ce-4e66-9970-861fb5af642f,breed,American Hairless Terrier,"The American Hairless Terrier is a small to medium-sized breed of terrier that originated in the United States. It is the hairless variety of the Rat Terrier, and was developed by breeding selectively for the gene that causes the hairlessness. The Hairless variety is considered to have a more mellow and laid-back temperament than its coated counterpart, and is an active and intelligent breed that loves to please and stay busy. The breed stands between 12-16 inches at the shoulder and comes in a variety of colors.",14,12,7,6,7,6,False,1bbf373b-1937-4e73-9863-45385daa4979,group
7b1fef86-3fa7-4dd0-92d2-8d7a5524e844,breed,American Leopard Hound,"The American Leopard Hound is a large, athletic dog breed that was originally bred for hunting. They are known for their spotted coats and keen sense of smell.",15,12,40,30,35,25,False,8000793f-a1ae-4ec4-8d55-ef83f1f644e5,group
30a056b8-2bbe-4aa9-b874-c511eb2ca775,breed,American Staffordshire Terrier,"The American Staffordshire Terrier is a medium-sized breed of dog that was originally bred for dog fighting. They are intelligent, loyal, and protective, and make excellent family pets.",14,12,40,18,40,18,False,1bbf373b-1937-4e73-9863-45385daa4979,group
46a95f0b-8b66-400d-8323-07084c36fcae,breed,American Water Spaniel,"The American Water Spaniel is a medium-sized breed of dog that was originally bred in the United States for hunting waterfowl. They are intelligent, energetic, and eager to please, and make excellent hunting dogs.",14,12,20,15,20,15,False,ab110192-e41b-43ff-a630-f7aee156b33a,group
c94e50a5-f733-4b15-8b11-54598c949b6f,breed,Anatolian Shepherd Dog,"The Anatolian Shepherd Dog is a large breed of flock guardian dog that originated in Turkey. It is a powerful and athletic breed, with a long, coarse coat. Its head is large and round, with small, erect ears. Its legs are strong and muscular, and its tail is usually docked. The Anatolian Shepherd Dog is an intelligent and loyal breed, and it makes an excellent family pet. It is an active breed, and it needs plenty of exercise and mental stimulation. It is loyal and affectionate, and it enjoys spending time with its family.",14,12,70,50,70,50,False,56081cf0-fdf2-4114-9bf7-23a3f5b6af91,group
